,Unnamed: 0,Autor(es)/Instituições,Título,Tipo,Evento,Ano,Link do Arquivo
38,38,Alexandre Caetano (GOVERNO DO ESTADO DO ESPÍRITO SANTO),a universidade federal do espírito santo e a ditadura - 1964-1968,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953103_23fdc37a293461caed56e2f4cf929845.pdf
100,100,Andréa Cristina de Barros Queiroz (Universidade Federal do Rio de Janeiro),a ufrj e a sua modernização conservadora durante a ditadura civil-militar (1964-1985),Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953103_63d8e376e5d981510c61ce5bb35739ad.pdf
200,200,Caroline Jaques Cubas (UDESC),"religiosidade, resistência e ditadura em maurina borges da silveira",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953102_92f4e59dc09ca15c31f0867a58e2ca07.pdf
203,203,Caroline Faria Gomes (UFES),as propostas acerca da autonomia indígena mapuche no chile do pós ditadura (1997-2014),Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953102_e6315e68fb5198dbc687f58287cc559e.pdf
287,287,Fabiana Santos da Silva (Universidade Federal da Integração Latino-Americana),"memória, ressentimento e literatura: a ditadura no romance chileno la sombra de lo que fuimos do escritor luís sepúlveda",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953101_8b89c0018fc0505fb8279999f72d7583.pdf
306,306,Elton Rigotto Genari (UNICAMP),o trabalho com memórias no ensino de história da ditadura militar no brasil,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953101_2b5dd1313756429eae07818ec4e26316.pdf
308,308,Ellen Natucha Pedroza Bezerra (URCA),a ditadura militar nos livros didáticos: história e memória nos manuais de ensino de 1976 e 2016.,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953101_7c0a9df7472d8eab2f143fe9a2fcd7cc.pdf
370,370,Dimas Brasileiro Veras (UFPE),projeto rondon e centro rural universitário de treinamento e ação comunitária: a extensão universitária em tempos de ditadura,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953101_eb70d86437000d7e787b57f1b49bd357.pdf
494,494,Gilberto Couto Oliveira (Universidade Federal da Bahia),ditadura militar na escola de medicina da  ufba: o caso nelson soares pires (1953 a 1979),Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953100_93a33108ba2e2924734e80213831ade0.pdf
519,519,Francisco Rogério Madeira Pinto (UNIVERSIDADE DE BRASILIA),a importação de modelos autoritários pela ditadura militar:o caso do artigo 16 da constituição francesa de 1958,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953100_50dc2df79cb01504b03584d81d16118a.pdf
574,574,"Lívia Gomes Côrtes (Universidade Estadual do Sudoeste da Bahia), Louise Anunciação Fonseca de Oliveira do Amaral (Universidade Federal da Bahia - Escola Politécnica)",a escola politécnica da universidade federal da bahia e a ditadura militar brasileira: discentes que “criaram um clima de intranquilidade” em salvador em 1968,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953099_6dac20df39d82ac85827636dc5a4cd72.pdf
580,580,"Lívia Gomes Côrtes (Universidade Estadual do Sudoeste da Bahia), Louise Anunciação Fonseca de Oliveira do Amaral (Universidade Federal da Bahia - Escola Politécnica)",a escola politécnica da universidade federal da bahia e a ditadura militar brasileira: discentes que “criaram um clima de intranquilidade” em salvador em 1968,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953099_6dac20df39d82ac85827636dc5a4cd72.pdf
608,608,Leandro Rosetti de Almeida (UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO),"entre clio e mnemosyne: história, memória e as lembranças da ditadura civil-militar nas narrativas estudantis de uma escola pública fluminense",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953099_a7600322bec5611a8893e58f718e3ef2.pdf
